timestamp,datetime,pair,direction,strength,entry,sl,tp1,tp2,tp3,confidence_pct,risk_reward,size_lots,votes_bull,votes_bear,votes_total,atr,spread_pips,session,timeframe,notes
1772863887.884,2026-03-07T13:11:27.884063,EUR/USD,BUY,WEAK,1.08506,1.08334,1.08848,1.0902,1.09191,55.1,2.0,0.22,4,3,7,0.00086,0.8,Tokyo,15min,EMA fast above slow (bullish bias) | MACD line positive | Price above VWAP | Price bouncing off pivot support 1.08448
1772863888.195,2026-03-07T13:11:28.194554,GBP/USD,SELL,VERY_STRONG,1.26504,1.26804,1.25905,1.25605,1.25306,81.9,2.0,0.13,1,7,8,0.0015,1.2,Tokyo,15min,EMA fast below slow (bearish bias) | MACD line negative | RSI bearish zone (44.2) | SuperTrend bearish | Price below VWAP
1772863888.505,2026-03-07T13:11:28.505013,USD/JPY,SELL,VERY_STRONG,149.16297,162.76251,121.96389,108.36435,94.76481,89.1,2.0,0.01,2,12,14,6.79977,0.8,Tokyo,15min,EMA fast below slow (bearish bias) | MACD line negative | RSI bearish zone (31.3) | Bearish RSI divergence detected | SuperTrend bearish
1772863888.815,2026-03-07T13:11:28.814997,USD/CHF,SELL,WEAK,0.89819,0.89986,0.89484,0.89317,0.89149,59.2,2.0,0.21,3,6,9,0.00084,1.4,Tokyo,15min,EMA fast below slow (bearish bias) | MACD line negative | RSI bearish zone (38.1) | SuperTrend bearish | Price below VWAP
1772863889.126,2026-03-07T13:11:29.126178,AUD/USD,SELL,WEAK,0.65408,0.65582,0.65059,0.64884,0.64709,58.6,2.0,0.21,5,7,12,0.00087,1.2,Tokyo,15min,EMA fast below slow (bearish bias) | MACD line negative | SuperTrend bearish | ADX 28 strong downtrend | Price below VWAP
1772863889.437,2026-03-07T13:11:29.437127,NZD/USD,SELL,STRONG,0.59813,0.59986,0.59466,0.59292,0.59119,77.9,2.0,0.22,2,8,10,0.00087,1.5,Tokyo,15min,EMA fast below slow (bearish bias) | MACD line negative | RSI bearish zone (33.0) | SuperTrend bearish | Price below VWAP
1772863889.787,2026-03-07T13:11:29.786569,USD/CAD,SELL,STRONG,1.3618,1.36405,1.35729,1.35504,1.35279,73.3,2.0,0.22,3,8,11,0.00113,1.4,Tokyo,15min,EMA fast crossed below slow | MACD histogram crossed below 0 | RSI bearish zone (39.0) | SuperTrend bearish | Squeeze momentum turned negative
1772863890.156,2026-03-07T13:11:30.155905,EUR/GBP,BUY,MODERATE,0.85686,0.85511,0.86035,0.8621,0.86385,67.5,2.0,0.17,7,3,10,0.00087,1.5,Tokyo,15min,"EMA fast above slow (bullish bias) | MACD line positive | RSI bullish zone (56.3) | Price above Ichimoku cloud, Tenkan > Kijun | Squeeze momentum turned positive"
1772863890.466,2026-03-07T13:11:30.466276,EUR/JPY,BUY,MODERATE,164.61913,128.40118,237.05504,273.273,309.49096,68.4,2.0,0.01,9,4,13,18.10898,1.2,Tokyo,15min,EMA fast above slow (bullish bias) | MACD line positive | RSI bullish zone (65.1) | SuperTrend bullish | ADX 58 strong uptrend
1772863890.776,2026-03-07T13:11:30.776242,GBP/JPY,BUY,VERY_STRONG,206.94131,179.33344,262.15706,289.76493,317.3728,91.5,2.0,0.01,7,1,8,13.80394,2.0,Tokyo,15min,EMA fast crossed above slow | MACD line positive | RSI bullish zone (56.9) | Price above VWAP | OBV above its EMA (bullish volume)
1772864220.156,2026-03-07T13:17:00.155811,EUR/USD,SELL,MODERATE,1.08376,1.08681,1.07765,1.0746,1.07155,68.9,2.0,0.12,7,13,20,0.00153,0.8,Tokyo,1min,"EMA fast below slow (bearish bias) | Price below EMA-200 (downtrend) | MACD line negative | RSI bearish zone (35.9) | Price below Ichimoku cloud, Tenkan < Kijun"
1772864220.237,2026-03-07T13:17:00.237349,GBP/USD,SELL,MODERATE,1.25628,1.26136,1.24612,1.24104,1.23595,61.0,2.0,0.07,4,5,9,0.00254,1.2,Tokyo,1min,SuperTrend bearish | Price below VWAP | OBV below its EMA (bearish volume) | Price near pivot resistance 1.25748 | ML bearish probability: 61%
1772864220.341,2026-03-07T13:17:00.340660,USD/JPY,BUY,MODERATE,250.70448,194.49443,363.12458,419.33464,475.54469,68.3,2.0,0.01,9,5,14,28.10503,0.8,Tokyo,1min,Price above EMA-200 (uptrend) | RSI bullish zone (55.5) | MFI oversold (17) | SuperTrend bullish | ADX 27 strong uptrend
1772864220.423,2026-03-07T13:17:00.423335,USD/CHF,BUY,STRONG,0.89859,0.89592,0.90394,0.90661,0.90928,77.5,2.0,0.13,11,3,14,0.00134,1.4,Tokyo,1min,EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | Bullish RSI divergence detected | SuperTrend bullish
1772864220.51,2026-03-07T13:17:00.509778,AUD/USD,BUY,VERY_STRONG,0.65049,0.64744,0.65661,0.65967,0.66272,80.9,2.0,0.12,11,3,14,0.00153,1.2,Tokyo,1min,"EMA fast above slow (bullish bias) | Price above EMA-200 (uptrend) | MACD line positive | RSI bullish zone (68.7) | Price above Ichimoku cloud, Tenkan > Kijun"
